SMILES,Name,Cluster
CCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1,16741133,5
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101303273,2
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504126,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)c(C)c1,101319242,5
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,36638719,5
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101310486,5
CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)c(C)c1,16741027,5
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504190,5
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,101300893,2
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101309903,2
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,101315917,5
CC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1F,101061331,5
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1)[C@@H]1CCCO1,17967322,5
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)c(C)c1,101319244,5
CCC(CC)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,101318032,5
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1)C1CC1,101075781,5
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1Cl,101316302,5
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101309902,2
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,245228920,5
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,101315701,5
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,32504130,5
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1C(F)(F)F,101308474,5
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cc(Cl)ccc1Cl,101315918,5
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)c1C,101310643,2
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1c(Cl)cccc1Cl,101303829,5
CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)c(C)c1,16741029,5
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,32504110,5
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)cc1C,101318111,2
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101312907,2
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(Cl)ccc1Cl,101315915,5
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,32506933,5
COc1ccc(OC)c(N2/C(=N\C(=O)CC(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101304571,5
CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1,32634578,5
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101316998,2
